fundo_cnpj,data,pl,valor_cota,captacao_dia,resgate_dia,cotistas
02727085000130,2025-04-28,1382116.49,154.42452137,0.0,0.0,18
02727085000130,2025-04-29,1385651.94,154.81953885,0.0,0.0,18
02727085000130,2025-04-30,1365506.96,152.56873082,0.0,0.0,18
02727085000130,2025-05-02,1391118.14,155.43027993,0.0,0.0,18
02727085000130,2025-05-05,1354115.74,151.29598448,0.0,0.0,18
02727085000130,2025-05-06,1374108.51,153.52978602,0.0,0.0,18
02727085000130,2025-05-07,1382460.73,154.46298346,0.0,0.0,18
02727085000130,2025-05-08,1404458.73,156.92083028,0.0,0.0,18
02727085000130,2025-05-09,1411203.82,157.67446234,0.0,0.0,18
02727085000130,2025-05-12,1447247.82,161.70167531,0.0,0.0,18
02727085000130,2025-05-13,1455194.61,162.58957387,0.0,0.0,18
02727085000130,2025-05-14,1446283.85,161.59397049,0.0,0.0,18
02727085000130,2025-05-15,1450618.46,162.07827849,0.0,0.0,18
02727085000130,2025-05-16,1448932.43,161.88989757,0.0,0.0,18
02727085000130,2025-05-19,1460163.55,163.14475586,0.0,0.0,18
02727085000130,2025-05-20,1464497.39,163.62897783,0.0,0.0,18
02727085000130,2025-05-21,1452776.59,162.31940736,0.0,0.0,18
02727085000130,2025-05-22,1434634.68,160.29240328,0.0,0.0,18
02727085000130,2025-05-23,1436561.77,160.50771795,0.0,0.0,18
02727085000130,2025-05-26,1436883.32,160.54364488,0.0,0.0,18
02727085000130,2025-05-27,1449647.02,161.96973905,0.0,0.0,18
02727085000130,2025-05-28,1432709.36,160.07728638,0.0,0.0,18
02727085000130,2025-05-29,1428538.61,159.61128653,0.0,0.0,18
02727085000130,2025-05-30,1410799.4,157.62927631,0.0,0.0,18
02727085000130,2025-06-02,1414734.62,158.06896028,0.0,0.0,18
02727085000130,2025-06-03,1386560.82,154.92108844,0.0,0.0,18
02727085000130,2025-06-04,1348755.95,150.69713264,0.0,0.0,18
02727085000130,2025-06-05,1341857.9,149.92641029,0.0,0.0,18
02727085000130,2025-06-06,1356633.67,151.57731398,0.0,0.0,18
02727085000130,2025-06-09,1343313.42,150.08903622,0.0,0.0,18
02727085000130,2025-06-10,1388993.83,155.19292978,0.0,0.0,18
02727085000130,2025-06-11,1427045.87,159.44450199,0.0,0.0,18
02727085000130,2025-06-12,1463891.71,163.56130492,0.0,0.0,18
02727085000130,2025-06-13,1493109.66,166.82584013,0.0,0.0,18
02727085000130,2025-06-16,1490618.55,166.54750724,0.0,0.0,18
02727085000130,2025-06-17,1531875.82,171.1572013,0.0,0.0,18
02727085000130,2025-06-18,1523586.94,170.23108086,0.0,0.0,18
02727085000130,2025-06-20,1530308.06,170.98203474,0.0,0.0,18
02727085000130,2025-06-23,1487261.68,166.17244259,0.0,0.0,18
02727085000130,2025-06-24,1456127.78,162.69383739,0.0,0.0,18
02727085000130,2025-06-25,1447539.68,161.73428496,0.0,0.0,18
02727085000130,2025-06-26,1458093.26,162.91344139,0.0,0.0,18
02727085000130,2025-06-27,1440147.14,160.90831301,0.0,0.0,18
02727085000130,2025-06-30,1452402.57,162.27761793,0.0,0.0,18
02727085000130,2025-07-01,1458276.92,162.93396181,0.0,0.0,18
02727085000130,2025-07-02,1488821.83,166.34675888,0.0,0.0,18
02727085000130,2025-07-03,1495544.87,167.09792728,0.0,0.0,18
02727085000130,2025-07-04,1497163.22,167.27874628,0.0,0.0,18
02727085000130,2025-07-07,1486871.41,166.12883754,0.0,0.0,18
02727085000130,2025-07-08,1524220.49,170.3018677,0.0,0.0,18
02727085000130,2025-07-09,1502017.09,167.82107144,0.0,0.0,18
02727085000130,2025-07-10,1504485.81,168.09690268,0.0,0.0,18
02727085000130,2025-07-11,1510357.27,168.75292365,0.0,0.0,18
02727085000130,2025-07-14,1494109.68,166.93757283,0.0,0.0,18
02727085000130,2025-07-15,1477012.27,165.02727122,0.0,0.0,18
02727085000130,2025-07-16,1464169.42,163.59233358,0.0,0.0,18
02727085000130,2025-07-17,1453879.44,162.44262931,0.0,0.0,18
02727085000130,2025-07-18,1432105.31,160.00979559,0.0,0.0,18
02727085000130,2025-07-21,1435853.98,160.42863624,0.0,0.0,18
02727085000130,2025-07-22,1450661.81,162.08312201,0.0,0.0,18
02727085000130,2025-07-23,1482908.58,165.68606869,0.0,0.0,18
02727085000130,2025-07-24,1484527.64,165.86696702,0.0,0.0,18
02727085000130,2025-07-25,1491250.93,166.61816335,0.0,0.0,18
02727085000130,2025-07-28,1490317.36,166.51385514,0.0,0.0,18
02727085000130,2025-07-29,1514480.08,169.21356714,0.0,0.0,18
02727085000130,2025-07-30,1531410.34,171.105193,0.0,0.0,18
02727085000130,2025-07-31,1522818.07,170.14517466,0.0,0.0,18
02727085000130,2025-08-01,1501040.1,167.71191189,0.0,0.0,18
02727085000130,2025-08-04,1495852.39,167.13228663,0.0,0.0,18
02727085000130,2025-08-05,1507679.37,168.45372063,0.0,0.0,18
02727085000130,2025-08-06,1504192.73,168.06415672,0.0,0.0,18
02727085000130,2025-08-07,1514743.16,169.24296119,0.0,0.0,18
02727085000130,2025-08-08,1394282.13,155.78379401,0.0,0.0,18
02727085000130,2025-08-11,1400585.07,156.48802444,0.0,0.0,18
02727085000130,2025-08-12,1407738.38,157.28726711,0.0,0.0,18
02727085000130,2025-08-13,1416652.19,158.28321127,0.0,0.0,18
02727085000130,2025-08-14,1355673.91,156.85307677,0.0,48178.42,17
02727085000130,2025-08-15,1354367.51,156.70192474,0.0,0.0,17
02727085000130,2025-08-18,1364961.63,157.92767697,0.0,0.0,17
02727085000130,2025-08-19,1346419.6,155.78234214,0.0,0.0,17
02727085000130,2025-08-20,1368769.65,158.36826939,0.0,0.0,17
02727085000130,2025-08-21,1367462.53,158.21703406,0.0,0.0,17
02727085000130,2025-08-22,1382569.88,159.96497235,0.0,0.0,17
02727085000130,2025-08-25,1384134.51,160.14600189,0.0,0.0,17
02727085000130,2025-08-26,1377081.49,159.32995912,0.0,0.0,17
02727085000130,2025-08-27,1384801.82,160.22321045,0.0,0.0,17
02727085000130,2025-08-28,1401139.29,162.11347507,0.0,0.0,17
02727085000130,2025-08-29,1412141.17,163.38640562,0.0,0.0,17
02727085000130,2025-09-01,1405907.32,162.66514179,0.0,0.0,17
02727085000130,2025-09-02,1416498.57,163.89056196,0.0,0.0,17
02727085000130,2025-09-03,1401646.92,162.17220846,0.0,0.0,17
02727085000130,2025-09-04,1408134.81,162.92286502,0.0,0.0,17
02727085000130,2025-09-05,1376869.22,159.30539923,0.0,0.0,17
02727085000130,2025-09-08,1388693.16,160.67344309,0.0,0.0,17
02727085000130,2025-09-09,1403388.97,162.37376571,0.0,0.0,17
02727085000130,2025-09-10,1438601.96,166.44795035,0.0,0.0,17
02727085000130,2025-09-11,1423749.08,164.72945455,0.0,0.0,17
02727085000130,2025-09-12,1411359.18,163.29592845,0.0,0.0,17
02727085000130,2025-09-15,1431388.41,165.61333408,0.0,0.0,17
02727085000130,2025-09-16,1428846.73,165.31925869,0.0,0.0,17
02727085000130,2025-09-17,1439436.71,166.54453192,0.0,0.0,17
02727085000130,2025-09-18,1428687.39,165.30082286,0.0,0.0,17
02727085000130,2025-09-19,1408090.02,162.91768276,0.0,0.0,17
02727085000130,2025-09-22,1441029.87,166.72886242,0.0,0.0,17
