competencia,cnpj,fundo,admin,pl,cotistas,ativo,carteira,dir_cred,dir_cred_inadimplente,provisao,valores_mobiliarios,debentures,cotas_outros_fidc,outros_a_receber
2025-07,53273475000118,Anna FICFIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,15311276037.55,1,15965508295.48,15964254074.4,0.0,0.0,0.0,12204661.74,0.0,15952049412.66,0.0
2025-07,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,38718820.67,3,38888979.68,38888834.87,34264105.39,0.0,0.0,0.0,0.0,4624729.48,0.0
2025-07,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1871923187.3,1,2150730964.88,2060721695.15,2060543015.04,0.0,0.0,178680.11,0.0,0.0,90000000.0
2025-08,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1174372079.26,2,5936877494.37,5481057957.49,5464869949.56,40112636.28,9257838.35,9658634.56,0.0,6529373.37,455500000.0
2025-08,53273475000118,Anna FICFIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,15400940939.99,1,16016761420.17,16016759158.66,0.0,0.0,0.0,12396079.54,0.0,16004363079.12,0.0
2025-08,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,39024216.37,3,39200644.1,39200499.29,34505662.88,0.0,0.0,0.0,0.0,4694836.41,0.0
2025-08,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1872250835.24,1,2151039429.13,2061039403.86,2060936815.92,0.0,0.0,102587.94,0.0,0.0,90000000.0
2025-09,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1195031644.57,2,5948211012.53,5492604157.63,5431546680.76,58691286.82,18578650.54,1096933.68,0.0,59960543.19,455500000.0
2025-09,53273475000118,Anna FICFIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,14706225676.99,1,15322051526.53,15322049265.02,0.0,0.0,0.0,12471293.27,0.0,15309577971.75,0.0
2025-09,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,39289102.17,3,39475163.67,39471393.81,34701971.9,0.0,0.0,0.0,0.0,4769421.91,3625.05
2025-09,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1866058774.09,1,2144913943.56,2054913918.29,2054810394.37,0.0,0.0,103523.92,0.0,0.0,90000000.0
2025-10,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1245552799.75,2,5528100383.66,5528087612.6,5357148439.05,58691286.82,18578650.54,110895717.65,0.0,60043455.9,0.0
2025-10,53273475000118,Anna FICFIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,14493122794.64,1,15108955275.42,15108953013.91,0.0,0.0,0.0,12828661.51,0.0,15096124352.4,0.0
2025-10,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,40270889.91,3,40463220.13,40459450.27,35610785.37,0.0,0.0,0.0,0.0,4848664.9,3625.05
2025-10,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1866553838.61,1,2145476855.29,2055476830.02,2055372193.47,0.0,0.0,104636.55,0.0,0.0,90000000.0
2025-11,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,2090415301.31,2,3884014391.97,3883181049.74,3709965524.27,58691286.82,18578650.54,110116087.38,0.0,63099438.09,0.0
